idx	disp	grange	mradb	mrade	vecs	angle	splits	splo	sm	pres	pabs
1	2 	5 	0.3 	1	64	7	4	1	4	0.08 	0 
2	2 	5 	0.3 	1	64	7	4	1	4	0.08 	0.25 
3	2 	5 	0.3 	1	64	7	4	1	4	0.08 	1
4	2 	5 	0.3 	1	64	7	4	1	4	0.2 	0 
5	2 	5 	0.3 	1	64	7	4	1	4	0.2 	0.25 
6	2 	5 	0.3 	1	64	7	4	1	4	0.2 	1
7	2 	5 	0.3 	1	64	7	4	1	4	0.3	0 
8	2 	5 	0.3 	1	64	7	4	1	4	0.3	0.25 
9	2 	5 	0.3 	1	64	7	4	1	4	0.3	1
10	2 	5 	0.6 	1	64	7	4	1	4	0.08 	0 
11	2 	5 	0.6 	1	64	7	4	1	4	0.08 	0.25 
12	2 	5 	0.6 	1	64	7	4	1	4	0.08 	1
13	2 	5 	0.6 	1	64	7	4	1	4	0.2 	0 
14	2 	5 	0.6 	1	64	7	4	1	4	0.2 	0.25 
15	2 	5 	0.6 	1	64	7	4	1	4	0.2 	1
16	2 	5 	0.6 	1	64	7	4	1	4	0.3	0 
17	2 	5 	0.6 	1	64	7	4	1	4	0.3	0.25 
18	2 	5 	0.6 	1	64	7	4	1	4	0.3	1
19	2 	5 	1	1	64	7	4	1	4	0.08 	0 
20	2 	5 	1	1	64	7	4	1	4	0.08 	0.25 
21	2 	5 	1	1	64	7	4	1	4	0.08 	1
22	2 	5 	1	1	64	7	4	1	4	0.2 	0 
23	2 	5 	1	1	64	7	4	1	4	0.2 	0.25 
24	2 	5 	1	1	64	7	4	1	4	0.2 	1
25	2 	5 	1	1	64	7	4	1	4	0.3	0 
26	2 	5 	1	1	64	7	4	1	4	0.3	0.25 
27	2 	5 	1	1	64	7	4	1	4	0.3	1
28	2 	6 	0.3 	1	64	7	4	1	4	0.08 	0 
29	2 	6 	0.3 	1	64	7	4	1	4	0.08 	0.25 
30	2 	6 	0.3 	1	64	7	4	1	4	0.08 	1
31	2 	6 	0.3 	1	64	7	4	1	4	0.2 	0 
32	2 	6 	0.3 	1	64	7	4	1	4	0.2 	0.25 
33	2 	6 	0.3 	1	64	7	4	1	4	0.2 	1
34	2 	6 	0.3 	1	64	7	4	1	4	0.3	0 
35	2 	6 	0.3 	1	64	7	4	1	4	0.3	0.25 
36	2 	6 	0.3 	1	64	7	4	1	4	0.3	1
37	2 	6 	0.6 	1	64	7	4	1	4	0.08 	0 
38	2 	6 	0.6 	1	64	7	4	1	4	0.08 	0.25 
39	2 	6 	0.6 	1	64	7	4	1	4	0.08 	1
